singers,genres,total_play,title
"Kidd Kidd,Lil Wayne","Âu Mỹ,Rap / Hip Hop",10,Ejected
Nhiều nghệ sĩ,"Âu Mỹ,Rap / Hip Hop,Nhạc Phim",11853,Revolution
The Vamps,"Âu Mỹ,Pop,Rock",142,She Was The One
The Vamps,"Âu Mỹ,Pop,Rock",249,Lovestruck
The Vamps,"Âu Mỹ,Pop,Rock",315,Smile
The Vamps,"Âu Mỹ,Pop,Rock",1735,Somebody To You
The Vamps,"Âu Mỹ,Pop,Rock",507,Dangerous
The Vamps,"Âu Mỹ,Pop,Rock",70,High Hopes
The Vamps,"Âu Mỹ,Pop,Rock",45,Shout About It
The Vamps,"Âu Mỹ,Pop,Rock",43,Move My Way
The Vamps,"Âu Mỹ,Pop,Rock",16,Risk It All
"The Vamps,Shawn Mendes","Âu Mỹ,Pop,Rock",2568,Oh Cecilia (Breaking My Heart)
The Vamps,"Âu Mỹ,Pop,Rock",47,Another World
The Vamps,"Âu Mỹ,Pop,Rock",49,Girls On TV
Brett Eldredge,"Âu Mỹ,Country",250,Lose My Mind
Chris Young,"Âu Mỹ,Pop",498,I'm Comin' Over
Zac Brown Band,"Âu Mỹ,Country",565,Loving You Easy
Lee Brice,"Âu Mỹ,Country",122,Drinking Class
Old Dominion,"Âu Mỹ,Country",21,Break Up With Him
Luke Bryan,"Âu Mỹ,Country",1047,Strip It Down
Chris Janson,"Âu Mỹ,Country",701,Buy Me A Boat
Keith Urban,"Âu Mỹ,Country",512,"John Cougar, John Deere, John 3:16"
Eric Church,"Âu Mỹ,Country",97,Like A Wrecking Ball
Blake Shelton,"Âu Mỹ,Country",4595,Sangria
Luke Bryan,"Âu Mỹ,Country",4740,Kick The Dust Up
Future,"Âu Mỹ,Rap / Hip Hop",106,F*ck Up Some Commas
Thomas Rhett,"Âu Mỹ,Country",2953,Crash And Burn
Silento,"Âu Mỹ,Rap / Hip Hop",196193,Watch Me
"Big Sean,Drake","Âu Mỹ,Rap / Hip Hop",1455,Blessings
Zac Brown Band,"Âu Mỹ,Country",1465,Homegrown
Rae Sremmurd,"Âu Mỹ,Rap / Hip Hop",10267,No Type
Drake,"Âu Mỹ,Rap / Hip Hop",372,Know Yourself
"Big Sean,E-40","Âu Mỹ,Rap / Hip Hop",5817,I Don't Fuck With You
Sam Hunt,"Âu Mỹ,Country,Pop",3914,House Party
Bobby Shmurda,"Âu Mỹ,Rap / Hip Hop",34835,Hot Boy
Nhiều nghệ sĩ,"Âu Mỹ,Rap / Hip Hop",381,How Many Times
"Omarion,Chris Brown","Âu Mỹ,R&B / Soul",32996,Post To Be
Rich Homie Quan,"Âu Mỹ,Rap / Hip Hop",4572,"Flex (Ooh, Ooh, Ooh)"
"Flo Rida,Sage The Gemini","Âu Mỹ,Pop",23051,G.D.F.R.
"Pitbull,Chris Brown","Âu Mỹ,Rap / Hip Hop",47776,Fun
Fetty Wap,"Âu Mỹ,Rap / Hip Hop",344059,Trap Queen
"The Vamps,Demi Lovato","Âu Mỹ,Pop,Rock",6501,Somebody To You
The Vamps,"Âu Mỹ,Pop,Rock",49,Wild Heart
The Vamps,"Âu Mỹ,Pop,Rock",45,Last Night
The Vamps,"Âu Mỹ,Pop",25,I Wish It Could Be Christmas Everyday
The Vamps,"Âu Mỹ,Pop",1706,We Wish You A Merry Christmas
The Vamps,"Âu Mỹ,Pop,Rock",101,Sleighing In The Snow
The Vamps,"Âu Mỹ,Pop,Rock",56,Hoping For Snow
The Vamps,"Âu Mỹ,Pop,Rock",43,Silent Night
The Vamps,"Âu Mỹ,Pop,Rock",4617,Jingle Bells
The Vamps,"Âu Mỹ,Pop,Rock",60,Can We Dance
The Vamps,"Âu Mỹ,Pop,Rock",256,Jingle Bell Rock
The Vamps,"Âu Mỹ,Pop,Rock",106,Hallelujah
Sam Hunt,"Âu Mỹ,Country,Pop",42034,Take Your Time
Crazy Frog,"Âu Mỹ,Electronic / Dance",1319,We Like To Party (Handsup Mix)
Crazy Frog,"Âu Mỹ,Pop",2313,Jingle Bells (New Club Mix)
Crazy Frog,"Âu Mỹ,Electronic / Dance",3840,Who Let The Frog Out
Crazy Frog,"Âu Mỹ,Pop",609,Popcorn (Potatoheadz Mix)
Paul Mauriat,"New Age / World Music,Hòa Tấu",462,Flashdance... What A Feeling
Crazy Frog,"Âu Mỹ,Electronic / Dance",987,Axel F (Bounce Mix)
Crazy Frog,"Âu Mỹ,Electronic / Dance",1343,Popcorn (Radio Mix)
Crazy Frog,"Âu Mỹ,Electronic / Dance",924,Axel F (Club Mix)
Joy,"Âu Mỹ,Electronic / Dance",1315975,Touch By Touch
Crazy Frog,"Âu Mỹ,Electronic / Dance",1733,I Like To Move It (Club Mix)
Little Big Town,"Âu Mỹ,Country",8072,Girl Crush
Kaoma,"Âu Mỹ,Pop",1046275,Lambada
Crazy Frog,"Âu Mỹ,Electronic / Dance",15401,Jingle Bells (Single Mix)
Steelheart,"Âu Mỹ,Rock",615823,She's Gone
Madonna,"Âu Mỹ,Pop",37042,La Isla Bonita
Crazy Frog,"Âu Mỹ,Pop",1029,Crazy Toy Song
Crazy Frog,"Âu Mỹ,Electronic / Dance",18018,Last Christmas
Crazy Frog,"Âu Mỹ,Electronic / Dance",676,U Can't Touch This (Radio Mix)
Crazy Frog,"Âu Mỹ,Electronic / Dance",769,Get Ready For This
Tina Turner,"R&B / Soul,Âu Mỹ",1037,I Don't Wanna Lose You
Claude François,"Âu Mỹ,Folk,Pháp",30056,Donna Donna
Ace Of Base,"Pop,Âu Mỹ",6570,Beautiful Life
The Cascades,"Âu Mỹ,Pop",4352887,Rhythm Of The Rain
La Bouche,"Âu Mỹ,Pop",37393,Be My Lover
Stevie Wonder,"R&B / Soul,Âu Mỹ",149963,I Just Called To Say I Love You
Tokyo Square,"Âu Mỹ,Pop",745921,That Is Love
Wham,"Pop,Âu Mỹ",284505,Careless Whisper
The Carpenters,"Âu Mỹ,Rock,Electronic / Dance,Blues / Jazz",13126,Jambalaya (On The Bayou)
The Carpenters,"Âu Mỹ,Rock,Electronic / Dance,Blues / Jazz",158704,Top Of The World
Leo Sayer,Hàn Quốc,17578,More Than I Can Say
Tokyo Square,"Âu Mỹ,Pop",278771,Within You'll Remain
Vanessa Paradis,"Âu Mỹ,Pop",125906,Joe Le Taxi
Air Supply,"Pop,Âu Mỹ",15305,All Out Of Love
Haddaway,"Âu Mỹ,Pop",27703,What Is Love
Phil Collins,"Pop,Âu Mỹ",1910,Another Day In Paradise
Shakin' Stevens,"Âu Mỹ,Pop",86978,Because I Love You
"Roberta Flack,Peabo Bryson","Âu Mỹ,Pop",22370,Tonight I Celebrate My Love
The Carpenters,,1689881,Yesterday Once More
Đinh Mạnh Ninh,"Việt Nam,Nhạc Trẻ",5107384,Bài Ca Tình Yêu
Bruno Mars,"Âu Mỹ,Pop",29807,When I Was Your Man
Thùy Chi,"Việt Nam,Nhạc Trẻ",7279468,Chờ Anh Trong Cơn Mưa
"Justin Bieber,Halsey","Âu Mỹ,Pop",20374,The Feeling
SNSD,"Hàn Quốc,Electronic / Dance",115286,You Think
Trung Quân Idol,"Việt Nam,Nhạc Trẻ,Nhạc Phim",432077,Có Thật Không Tôi (Con Ma Nhà Họ Vương OST)
Red Velvet,"Hàn Quốc,Electronic / Dance",94014,Dumb Dumb
Exid,"Hàn Quốc,Electronic / Dance",27475,Hot Pink
Pentatonix,"Âu Mỹ,Pop",10558,That's Christmas To Me
Ariana Grande,"Âu Mỹ,Pop",48440,Santa Tell Me
Adele,"Âu Mỹ,Pop",1018863,Hello
Justin Bieber,"Âu Mỹ,Pop",6416,The Most
One Direction,"Âu Mỹ,Pop",7107,A.M.
Apink,"Hàn Quốc,Pop / Ballad",846406,NoNoNo
Pentatonix,"Âu Mỹ,Pop",10252,"Mary, Did You Know?"
SNSD,"Hàn Quốc,Electronic / Dance",166791,Party
Meghan Trainor,"Âu Mỹ,Pop",37125,I'll Be Home
Pentatonix,"Âu Mỹ,Pop",1188,Cheerleader
"Ariana Grande,Iggy Azalea","Âu Mỹ,Pop",757432,Problem
Pentatonix,"Âu Mỹ,Pop",10501,Rather Be
Pentatonix,"Nhật Bản,Pop / Ballad",34878,La La Latch
AOA,"Hàn Quốc,Electronic / Dance",150194,Heart Attack
Exid,"Hàn Quốc,Electronic / Dance",329438,UP & DOWN
Exid,"Hàn Quốc,Electronic / Dance",230597,Ah Yeah!
Miss A,"Hàn Quốc,Electronic / Dance",411824,Only You
Red Velvet,"Hàn Quốc,Pop / Ballad",169776,Ice Cream Cake
Thùy Chi,"Việt Nam,Nhạc Trẻ",7859096,Lặng Yên
"Minh Vương M4U,Thùy Chi","Việt Nam,Nhạc Trẻ",7119801,Yêu Thương Muộn Màng
Thùy Chi,"Việt Nam,Nhạc Trẻ,Nhạc Phim",3872973,Nơi Hạnh Phúc Mỉm Cười
"Justin Bieber,Ariana Grande","Âu Mỹ,Pop",19531,What Do You Mean? (Remix)
Thùy Chi,"Việt Nam,Nhạc Trẻ",616025,Giữ Em Đi (Version 2)
Thùy Chi,"Việt Nam,Nhạc Trẻ",8862077,Con Đường Hạnh Phúc
Justin Bieber,"Âu Mỹ,Pop",5194,Hit The Ground
Justin Bieber,"Âu Mỹ,Pop",6766,Purpose
"Trung Quân Idol,DJ Long Nguyễn","Việt Nam,Nhạc Trẻ,Nhạc Dance",351593,Chiều Nay Không Có Mưa Bay (Tropical...
Trung Quân Idol,"Việt Nam,Nhạc Trẻ",76773,Trái Đất Tròn Không Gì Là Không Thể (Beat)
"Trung Quân Idol,Hoàng Rob","Việt Nam,Nhạc Trẻ",952170,Xin Mưa Rơi Nhanh
