singers,genres,total_play,title
"Isaac (365),OnlyC,DJ Gin",Nhạc Trẻ,164359,Baby - What Makes You Beautiful (The Remix - Hòa Âm Ánh Sáng)
Bùi Vĩnh Phúc,Nhạc Trẻ,244943,Đừng Khóc Khi Lỗi Do Em
"Isaac (365),OnlyC,DJ Gin",Âu Mỹ khác,14453,Cheri Cheri Lady (The Remix - Hòa Âm Ánh Sáng 2015)	
Sơn Tùng (M-TP),Nhạc Trẻ,113919,Âm Thầm Bên Em (Live)
Thu Minh,Nhạc Trẻ,134028,Đừng Yêu
Phương Chi Bảo,Không Lời,130,Nguội Lạnh Beat
Hoàng Yến Chibi,Nhạc Trẻ,91630,Sống Như Những Đóa Hoa
Huy Nam,Nhạc Trẻ,43669,Chuyện Quá Khứ
Phương Chi Bảo,Trữ Tình,1188,Máu Chảy Ruột Mềm
Phương Chi Bảo,Nhạc Trẻ,586,Nguội Lạnh
An Coong,Không Lời,14414,Mùa Yêu Cũ (Piano Cover)
An Coong,Nhạc Hoa,12851,Happy Birthday To Me
An Coong,Không Lời,60705,Chưa Bao Giờ (Piano Cover)
An Coong,Không Lời,202362,Em Không Quay Về (Piano Cover)
An Coong,Không Lời,211916,Thời Gian Sẽ Trả Lời (Piano Version)
An Coong,Không Lời,394805,Em Muốn (Piano Cover)
An Coong,Không Lời,295112,Nắng Ấm Xa Dần (Piano Cover)
An Coong,Không Lời,229597,Dấu Mưa (Piano Cover)
An Coong,Không Lời,108986,Mình Yêu Nhau Đi (Piano Cover)
An Coong,Không Lời,19734,Âm Thầm Bên Em (Piano Cover)
An Coong,Không Lời,179141,Chờ Người Nơi Ấy (Piano Cover)
An Coong,Không Lời,201200,Em Của Ngày Hôm Qua (Piano Cover)
An Coong,Không Lời,39398,Dưới Những Cơn Mưa (Piano Cover)
Ưng Đại Vệ,Nhạc Trẻ,3584,The Unfinished Project (EDM)
Bích Phương,Nhạc Trẻ,1432769,Mình Yêu Nhau Để Làm Gì
Bích Phương,Nhạc Trẻ,1477567,Em Không Làm Được Đâu
Bích Phương,Nhạc Trẻ,230089,Thời Gian Có Giữ Được Gì (Cạm Bẫy Thị Thành OST)
Ưng Đại Vệ,Nhạc Trẻ,87844,Vì Điều Gì Phải Rời Xa (Dance Version)
Ưng Đại Vệ,Nhạc Trẻ,16945,"EDM Mix Bay, Hot, Taxi, Yêu Mình Anh"
Miu Lê,Nhạc Trẻ,509531,Mình Yêu Nhau Từ Bao Giờ
Hồ Quang Hiếu,Nhạc Trẻ,1264905,Chỉ Là Anh Đang Mơ
Bảo Uyên,Nhạc Trẻ,1186679,Để Lại Cho Em
"Hoàng Thùy Linh,Đông Nhi",Nhạc Trẻ,42867,"Crazy, I Wanna Dance (Mashup) (Version 2)"
"Tiên Cookie,BigDaddy,Bích Phương",Nhạc Trẻ,1037788,Anh Không Giữ
"Hoàng Thùy Linh,Đông Nhi",Nhạc Trẻ,190782,"Crazy, I Wanna Dance (Mashup)"
"Đông Nhi,Timmis,Cubb",Rap Việt,31579,Khóc 2 
Bích Phương,Nhạc Trẻ,4412880,Chỉ Là Em Giấu Đi
Bích Phương,Nhạc Trẻ,19563445,Mình Yêu Nhau Đi
Trịnh Thăng Bình,Nhạc Trẻ,1243741,Em Cần Thời Gian
"Khưu Huy Vũ,Bích Phương",Trữ Tình,16670,Còn Thương Rau Đắng Mọc Sau Hè
"Đông Nhi,Ông Cao Thắng",Nhạc Trẻ,970242,Cất Giấu Ký Ức
"OnlyC,Binz",Nhạc Trẻ,1408494,Sau Lưng Anh Sẽ Là
Thùy Chi,Nhạc Trẻ,1637777,Một Thời Đã Xa
Hồ Quang Hiếu,Nhạc Trẻ,604820,Anh Biết
Hồ Quang Hiếu,Nhạc Trẻ,660768,Xuân Yêu Thương
"Binz,Khói,It's Lee",Rap Việt,305811,Như Ngày Đó
OnlyC,Rap Việt,19165,Xa Em
"Lynk Lee,Binz",Rap Việt,96512,Tát Nước Đầu Đình
"OnlyC,T.I.N",Nhạc Trẻ,48331,Yêu Em Nhiều Hơn
"Timmis,Đông Nhi",Nhạc Trẻ,19218,U Cry
"Thùy Chi,Takayz",Nhạc Trẻ,10287,Bay Lên
"Isaac (365),OnlyC,DJ Gin",Thể Loại Khác,777557,Yêu Không Nghỉ Phép (The Remix - Hòa Âm Ánh Sáng 2015)
OnlyC,Nhạc Trẻ,10546,Yêu em mà thôi
"Minh Vương M4U,Thùy Chi",Không Lời,199717,Yêu Thương Muộn Màng Beat
"Vũ Duy Khánh,Thùy Chi",Trữ Tình,36559,Vì Khi Đã Yêu 2012
Thùy Chi,Nhạc Trẻ,2938745,Gặp Mẹ Trong Mơ
Thùy Chi,Nhạc Trẻ,12684,Mùa Thu Nhớ Em
Minh Thuận,Nhạc Trẻ,26480,Một Thời Đã Xa
Thiên Kim,Nhạc Trẻ,48529,Một Thời Đã Xa
Thùy Chi,Trữ Tình,165076,Đánh Rơi Bên Hồ
Phương Thanh,Nhạc Trẻ,1343793,Một Thời Đã Xa
Binz,Rap Việt,12963,Không Tên
Binz,Rap Việt,57603,Cảm Xúc
Binz,Rap Việt,64509,Lại Một Lần Nữa
Binz,Rap Việt,57371,Búp Bê Mập
Binz,Rap Việt,112246,Lại 1 lần nữa
Binz,Rap Việt,29859,La La La (Demo)
Binz,Rap Việt,42412,Con Đường Xưa
Binz,Rap Việt,97597,Đắng
Binz,Rap Việt,38184,Buông
Binz,Rap Việt,569602,303
Khắc Việt,Nhạc Trẻ,203666,Không Yêu Cũng Đừng Làm Bạn (Demo)
Thái Tuyết Trâm,Nhạc Trẻ,991,Mashup Chưa Bao Giờ Rời Xa (Acoustic Cover)
Hồ Quang Hiếu,Nhạc Trẻ,594967,Con Bướm Xuân (Acoustic Version)
Hồ Quang Hiếu,Không Lời,125021,Chúc Mừng Năm Mới Beat
Võ Hạ Trâm,Nhạc Trẻ,3158,Yêu Nhau Dẫu Mong Manh
"Khổng Tú Quỳnh,Ngô Kiến Huy,Miu Lê,Huỳnh Anh",Nhạc Trẻ,44389,Thiên Sứ 99
"Bảo Uyên,DJ VitaminD",Thể Loại Khác,709,Soái Ca (Super Hero) Remix
"Hoàng Tôn,Bảo Kun",Nhạc Trẻ,61416,Em Đẹp Em Có Quyền
"Bảo Uyên,DJ VitaminD",Nhạc Trẻ,1124,Soái Ca Remix
Hồ Việt Trung,Nhạc Trẻ,178325,Yêu Từ Xa
"Miu Lê,OnlyC,Karik,DJ",Thể Loại Khác,30944,Giáng Sinh Avatar (Remix)
Bảo Uyên,Nhạc Trẻ,19766,Soái Ca (Super Hero) (Acoustic Version)
"Trung Quân Idol,Quân Rapsoul",Nhạc Trẻ,470,Tìm Em (Acoustic Demo)
Hồ Quang Hiếu,Nhạc Trẻ,347168,Quay Cuồng
Chánh Mạnh,Nhạc Trẻ,1212,Chỉ Là Anh Đang Mơ
Miu Lê,Nhạc Trẻ,98898,Cơn Mưa Nhỏ Và Nắng
Ngô Kiến Huy,Nhạc Trẻ,1700895,Đến Lúc Quên
Tiên Tiên,Nhạc Trẻ,2568936,Vì Tôi Còn Sống (EDM Version)
Tiên Tiên,Nhạc Trẻ,226599,My Everything (Deephouse Version)
Ngô Kiến Huy,Nhạc Trẻ,2889,Yêu Rất Thật
Tiên Tiên,Không Lời,421531,My Everything Beat (Male)
Tiên Tiên,Nhạc Trẻ,312082,Intro
Tiên Tiên,Không Lời,421084,My Everything Beat
Tiên Tiên,Nhạc Trẻ,49035,Tình Về Nơi Đâu
Tiên Tiên,Nhạc Trẻ,81074,Say You Do (Acapella Version)
Ngô Kiến Huy,Không Lời,23491,Là Người Em Đã Yêu (Beat & Instrumental)
Ngô Kiến Huy,Nhạc Trẻ,186138,"LK Nghi Ngờ, Vì Anh Yêu Em, Giả Vờ Yêu (Remix)"
Ngô Kiến Huy,Thể Loại Khác,7426,Yêu Như Không Yêu (Remix)
Ngô Kiến Huy,Nhạc Trẻ,121393,Bao Lâu Rồi
"Ngô Kiến Huy,Khổng Tú Quỳnh",Nhạc Trẻ,1644,Yêu Em
