singers,genres,total_play,title
"Kid Ink,Chris Brown","Âu Mỹ,Rap / Hip Hop",51961,Show Me
Justin Timberlake,"Âu Mỹ,Pop",9954,Not A Bad Thing
"Jeremih,YG","Âu Mỹ,Rap / Hip Hop",82630,Don't Tell 'Em
Whitney Houston,"Âu Mỹ,Pop,R&B / Soul",1426202,I Will Always Love You
Pussycat Dolls,"Âu Mỹ,Pop",405887,Sway
Akon,"Âu Mỹ,Rap / Hip Hop,R&B / Soul",608190,Lonely
Britney Spears,"Âu Mỹ,Pop",692409,Piece Of Me
Eric Clapton,"Âu Mỹ,Pop,Âu Mỹ",21252,Blue Eyes Blue
Britney Spears,"Âu Mỹ,Pop",3987,Baby One More Time
Kylie Minogue,"Âu Mỹ,Pop",15927,I Should Be So Lucky
Shayne Ward,"Âu Mỹ,Pop",2185714,Stand By Me
Laura Pausini,"Âu Mỹ,Pop",791,It's Not Goodbye (Acoustic Version)
James Blunt,,187717,1973
Westlife,"Âu Mỹ,Pop",2279407,You Raise Me Up
Alan Jackson,"Âu Mỹ,Country",31610,Look At Me
Alan Jackson,"Âu Mỹ,Country",65775,Home
Boyzone,"Âu Mỹ,Pop",439348,Every Day I Love You..
Michael Buble,"Pop,Âu Mỹ",5440737,Home
Various Artists,"Âu Mỹ,Pop",23518,Diary Of Love
The Band Perry,"Âu Mỹ,Country",3463152,If I Die Young
Toni Braxton,"Âu Mỹ,Pop,R&B / Soul",4172603,Unbreak My Heart
Eminem,,157185,When I'm Gone
Michael Learns To Rock,"Pop,Âu Mỹ",6831611,Take Me To Your Heart
"Enrique Iglesias,Descemer Bueno","Âu Mỹ,Pop",320316,Bailando
"Ariana Grande,Zedd","Âu Mỹ,Pop,Electronic / Dance",356560,Break Free
"Beyoncé,Jay-Z","Âu Mỹ,Pop",104440,Drunk In Love
American Authors,"Âu Mỹ,Alternative",3373,Best Day Of My Life
Calvin Harris,"Âu Mỹ,Electronic / Dance",553497,Summer
Tove Lo,"Âu Mỹ,Pop,Indie,Alternative",119451,Habits (Stay High)
"Chris Brown,Lil Wayne","Âu Mỹ,Rap / Hip Hop",100275,Loyal
Charlie XCX,"Âu Mỹ,Pop,Nhạc Phim",8777,Boom Clap
Daniel Powter,"Âu Mỹ,Pop",7311,Free Loop
Nicki Minaj,"Âu Mỹ,Rap / Hip Hop",291081,Anaconda
Justin Timberlake,"Âu Mỹ,Pop",70712,Summer Love
Hunter Hayes,"Âu Mỹ,Country",1,Young And In Love (Live Wheels Up 2015 Tour)
Ricky Martin,"Âu Mỹ,Pop",541135,The Cup Of Life
Ellie Goulding,"Âu Mỹ,Pop",15008,Burn
"Hunter Hayes,Lady Antebellum","Âu Mỹ,Country",3,Where It All Begins (Live Wheels Up 2015...
Hunter Hayes,"Âu Mỹ,Country",3,I Mean You (Live Wheels Up 2015 Tour)
"Disclosure,Sam Smith","Âu Mỹ,Electronic / Dance",40718,Latch
Sky Nguyễn,"Việt Nam,Nhạc Đạo",159823,Cầu Cho Cha Mẹ
"Iggy Azalea,Rita Ora","Âu Mỹ,Rap / Hip Hop",343083,Black Widow
Sky Nguyễn,"Việt Nam,Nhạc Đạo",41,Chúa Chăn Nuôi Tôi (beat)
Sky Nguyễn,"Việt Nam,Nhạc Đạo",27,Con Chỉ Là Tạo Vật (Beat)
Sky Nguyễn,"Việt Nam,Nhạc Đạo",149277,Con Chỉ Là Tạo Vật
Idina Menzel,"Âu Mỹ,Nhạc Phim",1829332,Let It Go
Sia,"Âu Mỹ,Pop",413825,Chandelier
The Band Perry,"Âu Mỹ,Country",69,Santa Claus Is Coming To Town
Passenger,"Âu Mỹ,Pop",2471102,Let Her Go
Sky Nguyễn,"Việt Nam,Nhạc Đạo",33,Cầu Cho Cha Mẹ (Beat)
Hunter Hayes,"Âu Mỹ,Country",1,The Trouble With Love (Live Wheels Up 2015 Tour)
Hunter Hayes,"Âu Mỹ,Country",0,Suitcase (Live Wheels Up 2015 Tour)
The Moffatts,"Âu Mỹ,Country,Pop",151082,If Life Is So Short
Avicii,"Âu Mỹ,Rap / Hip Hop",10115,Wake Me Up
Lorde,"Âu Mỹ,Rock",1046708,Royals
Lorde,"Âu Mỹ,Indie",395161,Team
The Getaway Plan,"Pop,Âu Mỹ",58,Where The City Meets The Sea
Maroon 5,"Rock,Âu Mỹ",727308,Makes Me Wonder
The Carpenters,"Âu Mỹ,Rock,Electronic / Dance,Blues / Jazz",67608,Can't Smile Without You
Mika,"Âu Mỹ,Pop,Rock,Rap / Hip Hop,R&B / Soul",64073,Love Today
War,"Âu Mỹ,Pop",16340,Why Can't We Be Friends
Amy Winehouse,,88805,Rehab
"Rihanna,Jay-Z","Âu Mỹ,Pop",2005417,Umbrella
Sean Kingston,"Âu Mỹ,Pop,Rap / Hip Hop,R&B / Soul",1016858,Beautiful Girls
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",12156378,Anh Vẫn Còn Yêu Em
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",9581370,Vệt Nắng Cuối Trời
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",17752747,Chỉ Còn Trong Mơ
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",10432805,Nỗi Nhớ Mang Tên Em
Enrique Iglesias,"Âu Mỹ,Pop,R&B / Soul",34759,Do You Know (The Ping Pong Song)
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",28074570,Đừng Làm Anh Đau
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",7949713,Mình Chia Tay Nhé
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",22583040,Nhớ Em
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",16723386,Anh Rất Yêu Em
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",13735320,Xóa Tên Anh
Minh Vương M4U,"Việt Nam,Nhạc Trẻ",23870105,Anh Xin Lỗi
Plain White T's,"Âu Mỹ,Rock",86320,Hey There Delilah
Stratovarius,"Âu Mỹ,Rock",3416288,Forever
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",8242741,Làm Sao Giữ
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",398094,Làm Sao Giữ (Beat)
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",2313432,Nước Ngoài
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",1489992,Vợ Người Ta (Beat)
